Run ID,d77e
Date,"June 04, 2021"
PyELISA version,1.0.0a
Dilution factor,1.0
"
","
"
test_data,X,X,X,X,X,X,X,X,X,X
299.2337981691938,SATURATED,SATURATED,283.83123868933944,90.9948812859141,0.0,0.0,0.0,0.0,0.0,X
436.7362373456289,SATURATED,186.52094043076977,396.65773267061854,149.63755971323383,0.0,0.0,0.0,0.0,0.0,X
298.72957738312994,SATURATED,SATURATED,472.72800147572207,242.8253048436321,64.62829296602047,0.0,0.0,0.0,0.0,X
71.03621051060433,145.13928927671725,104.05241769556449,68.3537349690305,30.82793610258074,0.0,0.0,0.0,0.0,0.0,X
45.745864272813705,66.67267995893093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
36.77601192148437,18.67223300667057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
28.774179521409035,9.193708906341689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
32.122278444386346,22.47726724527788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
X,X,X,X,X,X,X,X,X,X,X
Number of oversaturated standard dilutions excluded,0
r2,0.9985814062791396
Total number of samples,80
Interpolated samples,75
Samples over extrapolation threshold,5
"
","
"
